name                                                                                             ,category ,location                  ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,visitors ,image ,latitude ,longitude
Pendopo Gubernur (Istana Sultan)                                                                 ,Bangunan ,Kota Banda Aceh           ,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       0 ,      ,554.726  ,  953.201
Gedung Menara (Sentral Telepon Militer Belanda)                                                  ,Bangunan ,Kota Banda Aceh           ,Asal Usul di bangun oleh belanda untuk memudahkan komunikasi dalam perang Aceh                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,       0 ,      ,554.685  ,  953.165
Gedung Bank Indonesia                                                                            ,Bangunan ,Kota Banda Aceh           ,Gedung BI dibangun tahun 1916 oleh pemerintah Belanda pada masa Gubernur Jendral Belanda H.N.A. Swart. Fungsinya sebagai Bank sirkulasi yang bertuga mencetak dan mengedarkan uang                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,       0 ,      ,555.769  ,  953.171
Makam Tengku Cik Di Kila                                                                         ,Situs    ,Kab. Nagan Raya           ,Tengku Cik di Kila merupakan seorang ulama keturunan Baghdad.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,       0 ,      ,428.671  ,  963.528
Makam Meureuhom Unga                                                                             ,Situs    ,Kab. Aceh Jaya            ,Makam kuno Meureuhom Unga merupakan makam seorang ulama                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,       0 ,      ,501.082  ,  953.659
Masjid Kebayakan                                                                                 ,Bangunan ,Kab. Aceh Tengah          ,Masjid tua kebayakan pertama dibangun sangat sederhana.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,       0 ,      ,463.766  ,  968.532
Kompleks Masjid Baiturrahim                                                                      ,Bangunan ,Kab. Aceh Tengah          ,Masjid ini dibangun oleh unggal khatib.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,       0 ,      ,459.068  ,  969.168
Bukit Kerang                                                                                     ,Situs    ,Kab. Aceh Tamiang         ,Bukit Kerang/bukit remis (gundukan kulit kerang/remis) ini dikelilingi persawahan. Bukit kerang (kjokkenmoddinger) merupakan peninggalan budaya mezolithik (jaman batu pertengahan) yang merupakan bagian dari babakan prasejarah.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,       0 ,      ,4.3913   ,  981.802
Kompleks Makam Raja Maan                                                                         ,Situs    ,Kab. Aceh Tamiang         ,Raja Maan adalah Raja Kejuruan Muda ke X yang memerintah pada tahun 1887 - 1893. Beliau adalah bapak Raja Habsyah dan bersaudarakan Raja Husein Mangku Raja dan Raja Hitam.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,       0 ,      ,4.2835   ,  980.572
Makam Jeurat Panjang                                                                             ,Situs    ,Kab. Aceh Tamiang         ,Makam jeurat panjang merupakan makam seorang putra Sultan Raja Prom Syah dari kerajaan Karang dan Tamiang Hulu yang bernama pendekar Sri Mangkula. Tokoh ini disebut sebut menjalin hubungan baik dengan kerajaan-kerajaan tetangga antara lain Deli dan Malaka.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,       0 ,      ,418.262  ,   98.036
