name,category,location,description,visitors,image,latitude,longitude
Pendopo Gubernur (Istana Sultan),Bangunan,"Kota Banda Aceh, Prov. Aceh",-,0,,5.54726,95.3201
Gedung Menara (Sentral Telepon Militer Belanda),Bangunan,"Kota Banda Aceh, Prov. Aceh",Asal Usul di bangun oleh belanda untuk memudahkan komunikasi dalam perang Aceh;,0,,5.54685,95.3165
Gedung Bank Indonesia,Bangunan,"Kota Banda Aceh, Prov. Aceh",Gedung BI dibangun tahun 1916 oleh pemerintah Belanda pada masa Gubernur Jendral Belanda H.N.A. Swart. Fungsinya sebagai Bank sirkulasi yang bertuga mencetak dan mengedarkan uang;,0,,5.55769,95.3171
Makam Tengku Cik Di Kila,Situs,"Kab. Nagan Raya, Prov. Aceh",Tengku Cik di Kila merupakan seorang ulama keturunan Baghdad.;,0,,4.28671,96.3528
Makam Meureuhom Unga,Situs,"Kab. Aceh Jaya, Prov. Aceh",Makam kuno Meureuhom Unga merupakan makam seorang ulama;,0,,5.01082,95.3659
Masjid Kebayakan,Bangunan,"Kab. Aceh Tengah, Prov. Aceh",Masjid tua kebayakan pertama dibangun sangat sederhana.;,0,,4.63766,96.8532
Kompleks Masjid Baiturrahim,Bangunan,"Kab. Aceh Tengah, Prov. Aceh",Masjid ini dibangun oleh unggal khatib.;,0,,4.59068,96.9168
Bukit Kerang,Situs,"Kab. Aceh Tamiang, Prov. Aceh",Bukit Kerang/bukit remis (gundukan kulit kerang/remis) ini dikelilingi persawahan. Bukit kerang (kjokkenmoddinger) merupakan peninggalan budaya mezolithik (jaman batu pertengahan) yang merupakan bagian dari babakan prasejarah.;,0,,4.3913,98.1802
Kompleks Makam Raja Maan,Situs,"Kab. Aceh Tamiang, Prov. Aceh",Raja Maan adalah Raja Kejuruan Muda ke X yang memerintah pada tahun 1887 - 1893. Beliau adalah bapak Raja Habsyah dan bersaudarakan Raja Husein Mangku Raja dan Raja Hitam.;,0,,4.2835,98.0572
Makam Jeurat Panjang,Situs,"Kab. Aceh Tamiang, Prov. Aceh",Makam jeurat panjang merupakan makam seorang putra Sultan Raja Prom Syah dari kerajaan Karang dan Tamiang Hulu yang bernama pendekar Sri Mangkula. Tokoh ini disebut sebut menjalin hubungan baik dengan kerajaan-kerajaan tetangga antara lain Deli dan Malaka.;,0,,4.18262,98.036
Makam Tengku Tinggi,Situs,"Kab. Aceh Tamiang, Prov. Aceh",Tengku Tinggi merupakan seorang tokoh yang datang dari Malang Gelumpang Dua dan orang yang pertama kali membuka pemukiman di daerah Sungai Iyu dan penyebar agama Islam pertama di daerah tersebut.;,0,,4.39602,98.1425
Makam Panglima Hitam,Situs,"Kab. Aceh Tamiang, Prov. Aceh",Panglima Hitam adalah seorang panglima perang di Tualang dan juga ahli ilmu agama Islam serta mengembangkan hubungan dagang dengan Timur Tengah.;,0,,4.23442,98.0616
Pura Pegulingan  (Zona I),Bangunan,"Kab. Gianyar, Prov. Bali",-,0,,-8.41498,115.318
Pura Mengening (Zona II),Bangunan,"Kab. Gianyar, Prov. Bali",-,0,,-8.42016,115.312
Batu Goong Citaman,Situs,"Kab. Pandeglang, Prov. Banten",Merupakan peninggalan tradisi megalitik dan terdapat juga ciri-ciri yang menunjukkan masa klasik.;,0,,-6.33818,105.922
Situs Patapan,Situs,"Kab. Serang, Prov. Banten",Situs patapan sering digunakan sebagai tempat pertemuan para ulama dan santri dalam rangka menyusun strategi islamisasi di wilayah banten dan sering digunakan sebagai pangrereban sultan hasanudin;,0,,-6.18519,106.289
Gedung BPKAD (Badan Pengelola Keuangan Daerah) Kab. Serang,Bangunan,"Kota Serang, Prov. Banten",Bangunan ini merupakan bekas gedung Noormale School (sekolah putri) pada masa kolonial Belanda abad ke-2-. Pada masa kemudian bangunan ini digunakan oleh SMP Negeri I Serang dan pada saat ini difungsikan sebagai Kantor Bantor Pengelola Keuangan Daerah (BPKD) Kabupaten Serang.;,0,,-6.11469,106.153
Gedung Juang 45,Bangunan,"Kota Serang, Prov. Banten",Sebuah peristiwa penting pernah terjadi di gedung ini yang terjadi pada 1- Oktober 1945. Para pemuda berhasil menduduki dan mengambil alih bangunan yang pada waktu itu dijadikan markas tentara Kempeitai (Polisi Militer) Jepang untuk dijadikan markas Badan Keamanan Rakyat.;,0,,-6.11808,106.151
Stasiun Kereta Api Serang,Bangunan,"Kota Serang, Prov. Banten",Stasiun Kereta Api Serang diperkirakan dibangun bersamaan dengan stasiun Kereta Api Cilegon pada tahun 1896. Bangunan ini pernah dijadikan sebagai datum point untuk pemetaan nasional.;,0,,-6.11233,106.159
Menara Air,Bangunan,"Kab. Pandeglang, Prov. Banten",Didirikan pada tahun 1884. Dahulu berfungsi sebagai tempat menampung air. Pada saat ini walaupun kondisi bangunan masih utuh tetapi tidak difungsikan lagi.;,0,,-6.30962,106.104
Kantor Yayasan Maulana Hasanuddin Cilegon,Bangunan,"Kota Cilegon, Prov. Banten",Merupakan rumah kediaman pribadi seorang saudagar pribumi pada masa kolonial Belanda. Pemilik rumah yang saat ini merupakan keturunan II (cucu) dari pemilik I. Sepanjang tahun 1974-1994 bangunan ini tidak dihuni. Sejak tahun 1994 sampai sekarang digunakan sebagai kantor Yayasan Maulana Hasanuddin Cilegon.;,0,,-6.02298,106.049
